COD_TOPONIMO;DESCRIZIONE
687;VICOLO INFERIORE
688;VICOLO LUNGO
689;VICOLO NUOVO
690;VICOLO PRIVATO
691;VICOLO STORTO
692;VICOLO STRETTO
693;VICOLO VECCHIO
694;VIELLA
695;VIETTA
696;VIOTTOLA
697;VIUZZA
698;VO'
699;VOCABOLO
700;VOLTE
701;VOLTO
702;VOLTONE
703;ZIPA
704;COLLE
705;ZONA
706;REGIONE
707;PODERE
708;PASSO PRIVATO
709;SALITA INFERIORE
710;BRETELLA
711;GIARDINI
712;LUNGO LAGO
713;BELVEDERE
714;SPONDA
715;CONTRADELA
716;TROZO
717;NUCLEO
718;CENTRO DIREZIONALE
