CodiceAmministrativo;Sezione;IdentificativoSoggetto;TipoSoggetto;IdentificativoImmobile;TipoImmobile;CodiceDiritto;TitoloNonCodificatoIta;TitoloNonCodificatoTed;QuotaNumeratore;QuotaDenominatore;Regime;SoggettoDiRiferimento;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;Partita;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;IdentificativoTitolarita;
M113;;115463;P;663465;F;1 ;;;0;0; ;0;20071999;D;000336;001;2000;09022000;1001020;;;;;;;516227;;2837269;
M113;;118780;P;663449;F;2 ;;;1;2; ;0;20081999;D;002842;001;1999;08111999;1000999;;;;;;;504043;;2714923;
M113;;118780;P;663486;F;2 ;;;1;2; ;0;20081999;D;002842;001;1999;08111999;1000999;;;;;;;504043;;2714922;
M113;;119547;P;1033564;F;1 ;;;0;0; ;;20122013;D;001182;001;2014;18032014;;;;;;;;1228573;;5117216;
M113;;119547;P;1033563;F;1 ;;;0;0; ;;20122013;D;001182;001;2014;18032014;;;;;;;;1228573;;5117215;
M113;;119697;P;663316;F;2 ;;;1;2; ;0;28071995;D;002661;001;1995;06101995;1000554;;;;;;;276269;;1358745;
M113;;119697;P;663312;F;2 ;;;1;2; ;0;28071995;D;002661;001;1995;06101995;1000554;;;;;;;276269;;1358747;
M113;;119697;P;663321;F;2 ;;;1;2; ;0;28071995;D;002661;001;1995;06101995;1000554;;;;;;;276269;;1358748;
M113;;122461;P;663902;F;1 ;;;0;0; ;;13072007;D;012085;001;2007;02082007;;;;;;;;935407;;4323767;
M113;;122835;P;663447;F;1 ;;;0;0; ;0;14121999;D;000495;001;2000;29022000;1001024;;;;;;;519058;;2860193;
M113;;122835;P;663487;F;1 ;;;0;0; ;0;14121999;D;000495;001;2000;29022000;1001024;;;;;;;519058;;2860192;
M113;;126117;P;662908;F;2 ;;;1;4; ;;08112013;D;005089;001;2013;10122013;;;;;;;;1217811;;5090097;
M113;;126117;P;662907;F;2 ;;;1;4; ;;08112013;D;005089;001;2013;10122013;;;;;;;;1217811;;5090093;
M113;;126134;P;663864;F;2 ;;;1;2; ;0;31121991;V;004450;000;1991;26041995;0000013;;;;;;;234238;;1228890;
M113;;126134;P;663863;F;2 ;;;1;2; ;0;31121991;V;004450;000;1991;26041995;0000013;;;;;;;234238;;1228892;
M113;;126134;P;663866;F;2 ;;;1;2; ;0;31121991;V;004450;000;1991;26041995;0000013;;;;;;;234238;;1228894;
M113;;126134;P;663865;F;2 ;;;1;2; ;0;31121991;V;004450;000;1991;26041995;0000013;;;;;;;234238;;1228897;
M113;;126237;P;662908;F;2 ;;;1;4; ;;08112013;D;005089;001;2013;10122013;;;;;;;;1217811;;5090099;
M113;;126237;P;662907;F;2 ;;;1;4; ;;08112013;D;005089;001;2013;10122013;;;;;;;;1217811;;5090095;
M113;;126302;P;662908;F;2 ;;;1;5; ;;03122008;D;003196;001;2009;06102009;;;;;;;;1021669;;4585797;
M113;;126302;P;662907;F;2 ;;;1;5; ;;03122008;D;003196;001;2009;06102009;;;;;;;;1021669;;4585792;
M113;;126304;P;662119;F;1 ;;;0;0; ;0;25021994;D;000450;001;1997;17021997;1000748;;;;;;;368427;;1732400;
M113;;126304;P;662118;F;2 ;;;2;18; ;;21032005;D;002621;001;2006;29062006;;;;;;;;822055;;4065038;
M113;;126304;P;662116;F;2 ;;;2;18; ;;21032005;D;002621;001;2006;29062006;;;;;;;;822055;;4065033;
M113;;126304;P;662120;F;2 ;;;2;18; ;;21032005;D;002621;002;2006;29062006;;;;;;;;822056;;4065042;
M113;;126304;P;1027848;F;2 ;;;2;18; ;;20082013;A;003506;001;2013;20082013;;;;;;;;1204504;;5057849;
M113;;126306;P;732147;F;2 ;;;1;2; ;0;22092004;V;003361;001;2004;22092004;;;;;;;;688644;;3855729;
M113;;126306;P;732148;F;2 ;;;1;2; ;0;22092004;V;003361;001;2004;22092004;;;;;;;;688644;;3855731;
M113;;126320;P;661647;F;2 ;;;1;2; ;0;19062000;D;001715;001;2000;11072000;1001062;;;;;;;534919;;3049981;
M113;;126320;P;664139;F;2 ;;;1;2; ;;24072002;D;002092;001;2002;24072002;;;;;;;;609098;;3605059;
M113;;126320;P;664140;F;2 ;;;1;4; ;;02102003;D;003273;001;2003;02102003;;;;;;;;653564;;3738812;
M113;;126330;P;662909;F;1 ;;;0;0; ;0;05051994;D;001631;001;1994;09011996;1000645;;;;;;;301640;;1401831;
M113;;126364;P;661647;F;2 ;;;1;2; ;0;19062000;D;001715;001;2000;11072000;1001062;;;;;;;534919;;3049982;
M113;;126364;P;664139;F;2 ;;;1;2; ;;24072002;D;002092;001;2002;24072002;;;;;;;;609098;;3605060;
M113;;126364;P;664140;F;2 ;;;1;4; ;;02102003;D;003273;001;2003;02102003;;;;;;;;653564;;3738813;
M113;;126389;P;662116;F;2 ;;;2;18; ;;21032005;D;002621;001;2006;29062006;;;;;;;;822055;;4065032;
M113;;126389;P;662118;F;2 ;;;2;18; ;;21032005;D;002621;001;2006;29062006;;;;;;;;822055;;4065037;
M113;;126389;P;662120;F;2 ;;;2;18; ;;21032005;D;002621;002;2006;29062006;;;;;;;;822056;;4065041;
M113;;126389;P;1027848;F;2 ;;;2;18; ;;20082013;A;003506;001;2013;20082013;;;;;;;;1204504;;5057850;
M113;;128184;P;663208;F;2 ;;;1;2;C;0;30121993;D;000644;001;1994;06121995;1000593;;;;;;;296845;;1392091;
M113;;128184;P;663197;F;2 ;;;1;2;C;0;30121993;D;000644;001;1994;06121995;1000593;;;;;;;296845;;1392090;
M113;;128184;P;673360;F;2 ;;;1;2;C;516885;29042002;D;003309;001;2002;26112002;;;;;;;;621760;;3641859;
M113;;129942;P;660984;F;31 ;;;1;3; ;0;01010001;I;  0000;000;2000;01011992;0000620;;;;;;;220;;596856;
M113;;129942;P;660983;F;31 ;;;1;3; ;0;01010001;I;  0000;000;2000;01011992;0000620;;;;;;;220;;596854;
M113;;129942;P;660982;F;31 ;;;1;3; ;0;01010001;I;  0000;000;2000;01011992;0000620;;;;;;;220;;596860;
M113;;131001;P;663919;F;2 ;;;1;6; ;;13022005;D;004231;001;2012;04062012;;;;;;;;1148517;;4914784;
M113;;131036;P;663919;F;2 ;;;1;6; ;;13022005;D;004231;001;2012;04062012;;;;;;;;1148517;;4914785;
M113;;132573;P;758319;F;2 ;;;1;2; ;;14122005;D;000434;001;2006;30012006;;;;;;;;803741;;4012562;
M113;;132573;P;758312;F;2 ;;;1;2; ;;14122005;D;000434;001;2006;30012006;;;;;;;;803741;;4012560;
M113;;133779;P;663481;F;2 ;;;1;2;C;0;11051999;D;001940;001;1999;02081999;1000967;;;;;;;491593;;2587404;
M113;;133779;P;704847;F;2 ;;;1;2;C;467169;25062003;D;000180;001;2004;15012004;;;;;;;;663389;;3767438;
