CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;RenditaLire;RenditaEuro;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;DataDiEdifica;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121683;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121684;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121685;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121686;F;3;1; ;A04;2;3,5;;217000;112,07;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;940;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121687;F;1;1; ;A04;2;4,5;;279000;144,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121688;F;1;1; ;A04;3;3;;219000;113,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121689;F;1;1; ;A03;2;4,5;;279000;144,09;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1260;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121690;F;3;1; ;A04;2;4;;248000;128,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121691;F;1;1; ;A04;2;4;;248000;128,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121693;F;1;1; ;A03;2;7;;434000;224,14;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1260;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121694;F;1;1; ;C06;4;78;;226200;116,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121695;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121697;F;2;1; ;A03;2;7,5;;465000;240,15;;;;;;1;;;;1010001;30061987;I;;0;;;;;;;;49;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121698;F;2;1; ;C06;4;38;;110200;56,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121699;F;1;1; ;A04;2;5;;310000;160,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121701;F;1;1; ;A03;1;4;;212000;109,49;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;10;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121705;F;2;1; ;C02;1;35;;59500;30,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121707;F;1;1; ;A04;2;3;;186000;96,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121709;F;1;1; ;A04;3;4;;292000;150,81;;;;;;1;;;;1010001;30061987;I;;0;;;;;;;;8;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121710;F;2;1; ;A03;3;5;;365000;188,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121711;F;1;1; ;A04;2;4;;248000;128,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121713;F;1;1; ;A04;2;4,5;;279000;144,09;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;824;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121714;F;3;1; ;A04;3;7,5;;547500;282,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121716;F;2;1; ;A03;2;6,5;;403000;208,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121717;F;2;1; ;C02;4;91;;263900;136,29;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;30;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121718;F;1;1; ;A04;3;4,5;;328500;169,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121721;F;1;1; ;F01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121722;F;2;1; ;A04;3;4,5;;328500;169,66;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;30;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121723;F;1;1; ;F05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121724;F;2;1; ;A02;2;11;;1265000;653,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121725;F;2;1; ;C06;3;46;;110400;57,02;;;;;;T;S1;;;25011984;26021990;A;1841;1;1984;;;;;;;1830;;1145653;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121729;F;1;1; ;A03;2;6;;372000;192,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121732;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121734;F;1;1; ;A03;2;5,5;;341000;176,11;;;;;;T;;;;25011984;26021990;A;1840;1;1984;;;;;;;1830;;1145617;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121735;F;3;1; ;A03;2;9,5;;589000;304,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121739;F;2;1; ;C02;3;58;;139200;71,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121740;F;1;1; ;A03;2;6,5;;403000;208,13;;;;;;S1;T;1;;16121989;17091990;V;8005;;1989;;;;;;;2187;;1161783;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121743;F;2;1; ;A03;4;9;;774000;399,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121744;F;2;1; ;C06;4;64;;185600;95,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121746;F;1;1; ;A04;3;3,5;;255500;131,95;;;;;;T;;;;28061999;28061999;A;A04681;1;1999;;;;;;;1001479;;1664624;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121749;F;1;1; ;A03;2;7,5;;465000;240,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121750;F;1;1; ;A03;2;7;;434000;224,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121751;F;1;1; ;C06;4;46;;133400;68,9;;;;;;T;;;;24081993;17031997;V;10535;1;1993;;;;;;;2423;;1519347;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121752;F;1;1; ;A03;2;7;;434000;224,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121753;F;1;1; ;C06;4;32;;92800;47,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121756;F;3;1; ;A04;2;2;;124000;64,04;;;;;;S1;T;;;5041996;17061997;V;529;2;1996;;;;;;;101;;1534949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
